index,link_id,src_lat,src_long,des_lat,des_long
72,3681-3395,22.32976937,114.193383,22.33188243,114.1954897
73,36821-3491,22.31223578,114.167175,22.30937214,114.1676767
74,36821-34982,22.31223578,114.167175,22.31031918,114.1674614
75,3690-3643,22.32314173,114.2044811,22.31784868,114.2086113
76,3692-46332,22.30556904,114.1600911,22.28981308,114.1462518
77,3715-3457,22.30092871,114.1842751,22.29884455,114.1799822
78,46312-46319,22.30211594,114.1804279,22.30020037,114.1805909
79,46319-46512,22.30020037,114.1805909,22.28363698,114.1829512
80,46322-36511,22.30033038,114.2328347,22.29961803,114.2315246
81,46332-46522,22.28981308,114.1462518,22.30337035,114.1587019
82,4640-4643,22.31303852,114.176887,22.31068226,114.1779698
83,4643-3480,22.31068226,114.1779698,22.30950514,114.1787241
84,4644-88801,22.31504457,114.166789,22.31474468,114.1668243
85,4646-88806,22.32418185,114.1783809,22.32392228,114.1783645
86,4647-46478,22.27158737,114.1801879,22.27184769,114.1800992
87,46478-46479,22.27184769,114.1800992,22.27344827,114.1795058
88,46479-781,22.27344827,114.1795058,22.27525639,114.1799562
89,4648-46488,22.27931125,114.1721043,22.27931688,114.1723822
90,46488-762,22.27931688,114.1723822,22.27953399,114.1745641
91,4649-46497,22.29201845,114.1938723,22.29177647,114.1936096
92,4649-46499,22.29201845,114.1938723,22.292342,114.1940786
93,46495-4649,22.29223301,114.1941532,22.29201845,114.1938723
94,46497-877,22.29177647,114.1936096,22.28803281,114.189966
95,46498-4649,22.29188764,114.1935145,22.29201845,114.1938723
96,46499-811,22.292342,114.1940786,22.2931232,114.1961105
97,4650-3651,22.28981831,114.2123092,22.29983649,114.231348
98,4651-4631,22.28367148,114.1828544,22.30213632,114.1800974
99,4652-4633,22.28990377,114.1461512,22.30356562,114.1584009
100,50018-760,22.27916472,114.1718277,22.27927381,114.1704165
101,50019-50018,22.27916833,114.1723738,22.27916472,114.1718277
102,50045-50049,22.2877635,114.1506633,22.28836411,114.1483026
103,50048-893,22.28845128,114.1478085,22.28976153,114.1426315
104,50049-50048,22.28836411,114.1483026,22.28845128,114.1478085
105,50058-50045,22.28701703,114.1530722,22.2877635,114.1506633
106,50059-50058,22.28686576,114.1535366,22.28701703,114.1530722
107,50076-7881,22.2814749,114.1796261,22.28195633,114.1800282
108,50076-7883,22.2814749,114.1796261,22.28189216,114.1800666
109,50078-50079,22.27990902,114.1771777,22.2800882,114.177665
110,50079-50076,22.2800882,114.177665,22.2814749,114.1796261
111,50098-50099,22.2770743,114.1811208,22.27764712,114.1811468
112,50099-787,22.27764712,114.1811468,22.2806696,114.1806507
113,50106-8212,22.2911659,114.2113154,22.29324006,114.2072803
114,50107-50109,22.29126249,114.2113791,22.29095449,114.2118799
115,50108-50106,22.2908776,114.2117675,22.2911659,114.2113154
116,50109-910,22.29095449,114.2118799,22.29003445,114.2136744
117,5011-50119,22.28523551,114.2213492,22.28546789,114.2213462
118,50119-930,22.28546789,114.2213462,22.28879658,114.2179
119,50178-50019,22.27976135,114.1771646,22.27916833,114.1723738
120,50179-50178,22.27993486,114.1777984,22.27976135,114.1771646
121,722-50059,22.28599466,114.1552444,22.28686576,114.1535366
122,724-722,22.28514213,114.1563129,22.28599466,114.1552444
123,752-875,22.27957768,114.1655361,22.28070643,114.1637808
124,756-752,22.27963564,114.1679961,22.27957768,114.1655361
125,760-756,22.27927381,114.1704165,22.27963564,114.1679961
126,762-50078,22.27953399,114.1745641,22.27990902,114.1771777
127,781-50098,22.27525639,114.1799562,22.2770743,114.1811208
128,78201-88820,22.29998266,114.1686341,22.3016503,114.1679702
129,7861-50179,22.28124589,114.1812051,22.27993486,114.1777984
130,7861-7871,22.28124589,114.1812051,22.28093045,114.1805167
131,786-7861,22.28155011,114.1819768,22.28124589,114.1812051
132,7871-7881,22.28093045,114.1805167,22.28195633,114.1800282
133,787-50179,22.2806696,114.1806507,22.27993486,114.1777984
134,787-788,22.2806696,114.1806507,22.28175746,114.1801612
135,787-7882,22.2806696,114.1806507,22.28178107,114.1801329
136,7881-870,22.28195633,114.1800282,22.28285863,114.1820699
137,7882-7891,22.28178107,114.1801329,22.28213991,114.1810874
138,7883-7891,22.28189216,114.1800666,22.28213991,114.1810874
139,788-868,22.28175746,114.1801612,22.28182601,114.180898
140,7891-789,22.28213991,114.1810874,22.28205211,114.1815376
141,789-7908,22.28205211,114.1815376,22.28232393,114.1835021
142,7908-7909,22.28232393,114.1835021,22.28253455,114.1839876
143,7909-793,22.28253455,114.1839876,22.28445617,114.188135
144,7918-7919,22.28234142,114.1840419,22.28213367,114.1835613
145,7919-786,22.28213367,114.1835613,22.28155011,114.1819768
146,793-7918,22.28445617,114.188135,22.28234142,114.1840419
147,793-877,22.28445617,114.188135,22.28803281,114.189966
148,8111-46495,22.29299271,114.1961514,22.29223301,114.1941532
149,811-818,22.2931232,114.1961105,22.29411099,114.2022366
150,8182-8111,22.29397608,114.202289,22.29299271,114.1961514
151,818-821,22.29411099,114.2022366,22.29336509,114.2073326
152,8212-8182,22.29324006,114.2072803,22.29397608,114.202289
153,821-50107,22.29336509,114.2073326,22.29126249,114.2113791
154,868-870,22.28182601,114.180898,22.28285863,114.1820699
155,870-4651,22.28285863,114.1820699,22.28367148,114.1828544
156,875-3402,22.28070643,114.1637808,22.28151515,114.1621874
157,877-46498,22.28803281,114.189966,22.29188764,114.1935145
158,877-793,22.28803281,114.189966,22.28445617,114.188135
159,88801-36821,22.31474468,114.1668243,22.31223578,114.167175
160,88803-34781,22.30569658,114.1787301,22.30585015,114.1781416
161,88805-34551,22.30586115,114.1787765,22.30620997,114.1798394
162,88806-88807,22.32392228,114.1783645,22.32355167,114.1783384
163,88807-3506,22.32355167,114.1783384,22.31826782,114.1789558
164,88807-35071,22.32355167,114.1783384,22.32193083,114.1781415
165,88810-34212,22.32015542,114.20645,22.3226081,114.2037075
166,88812-88827,22.30755946,114.1815328,22.30721513,114.1811919
167,888131-3639,22.31617957,114.2134778,22.30636775,114.2221746
168,88813-888131,22.31657725,114.212988,22.31617957,114.2134778
169,888141-3637,22.30652453,114.224469,22.30850795,114.2276576
170,88814-888141,22.30624394,114.2240016,22.30652453,114.224469
171,888151-3633,22.30722548,114.2330277,22.30672904,114.2334095
172,888161-3419,22.32630944,114.1878997,22.32699539,114.1891401
173,88816-888161,22.32603816,114.1874158,22.32630944,114.1878997
174,888171-3644,22.33494273,114.2046035,22.3295829,114.2050859
175,88817-888171,22.33520466,114.2041235,22.33494273,114.2046035
176,888181-3715,22.30424246,114.1840689,22.30092871,114.1842751
177,88818-888181,22.30466879,114.1837563,22.30424246,114.1840689
178,888191-3459,22.29467457,114.1732052,22.29463427,114.1724119
179,88819-888191,22.29472087,114.1737805,22.29467457,114.1732052
180,888201-3470,22.30218875,114.1679299,22.30263231,114.1634982
181,88820-888201,22.3016503,114.1679702,22.30218875,114.1679299
182,888211-34221,22.32124767,114.1904672,22.32336466,114.1914413
183,88821-888211,22.32065322,114.1902947,22.32124767,114.1904672
184,888221-3010,22.31112472,114.1651376,22.31062692,114.1647691
185,88822-888221,22.31160676,114.1655301,22.31112472,114.1651376
186,888231-3503,22.31697142,114.1743667,22.31646363,114.1740032
187,888241-88824,22.32120802,114.1905383,22.32067402,114.1904079
188,88824-34372,22.32067402,114.1904079,22.31408347,114.1874255
189,88825-3484,22.31506937,114.1772523,22.31331028,114.1769346
190,88827-34552,22.30721513,114.1811919,22.30603324,114.1799863
191,88827-888303,22.30721513,114.1811919,22.30600058,114.1815451
192,888301-3692,22.30900835,114.1617702,22.30556904,114.1600911
193,888302-888303,22.30690892,114.1806918,22.30600058,114.1815451
194,888303-3453,22.30600058,114.1815451,22.30405614,114.1810128
195,893-4652,22.28976153,114.1426315,22.28990377,114.1461512
196,896-724,22.28363498,114.1574365,22.28514213,114.1563129
197,8978-896,22.28212114,114.1599514,22.28363498,114.1574365
198,8979-8978,22.28197421,114.1604504,22.28212114,114.1599514
199,9101-50108,22.28989671,114.2135978,22.2908776,114.2117675
200,910-931,22.29003445,114.2136744,22.28807237,114.2128595
201,930-9101,22.28879658,114.2179,22.28989671,114.2135978
202,930-931,22.28879658,114.2179,22.28807237,114.2128595
203,931-4650,22.28807237,114.2128595,22.28981831,114.2123092
204,991001-992001,22.42697554,114.2069753,22.42687486,114.2071366
205,991002-992004,22.42434769,114.2109861,22.42423446,114.2111374
206,991003-992007,22.41703923,114.2135679,22.4168616,114.2135327
207,991004-992010,22.40605964,114.2094962,22.40597284,114.2093258
208,991005-992013,22.4047967,114.2073506,22.40468742,114.207196
209,991006-992016,22.40948231,114.2138084,22.40936067,114.213952
210,991007-992019,22.40609444,114.2178829,22.40595367,114.2180041
211,991008-992022,22.39967263,114.2126607,22.3995329,114.2125376
212,991009-992025,22.39249935,114.2096026,22.39231963,114.2096219
213,991010-992028,22.38975753,114.2105966,22.38959262,114.2106758
214,991011-992031,22.38803719,114.2112239,22.38785732,114.2112414
215,991012-992034,22.37992716,114.2103157,22.37974832,114.2103428
216,991013-992037,22.37809219,114.2112419,22.377967,114.2113819
217,991015-992042,22.40216467,114.2044882,22.40202128,114.2043702
218,991016-992045,22.39753918,114.2014322,22.39738568,114.2013298
219,991017-992048,22.3947352,114.1996426,22.39457351,114.1995561
220,991018-992051,22.3886476,114.1931015,22.38852269,114.1929612
221,991019-992054,22.3849108,114.189759,22.38476599,114.189643
222,991020-992057,22.38072221,114.1865461,22.38056397,114.1864525
223,991021-992060,22.39154214,114.1987228,22.39136162,114.1987177
224,991022-992063,22.38364366,114.201482,22.38346846,114.2014348
225,991023-992066,22.38091984,114.2007136,22.38074824,114.200653
226,991024-992069,22.37402947,114.1942219,22.37398307,114.1940343
227,991025-992072,22.37938674,114.1960522,22.37949449,114.1958964
